Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Complaint_Clean
250635,Comcast Cable Internet Speeds,,2025-04-22,15:53:50,Customer Care Call,Abingdon,Maryland,21009,Closed,No,comcast cable internet speeds
223441,Payment disappear - service got disconnected,,2025-08-04,10:22:56,Internet,Acworth,Georgia,30102,Closed,No,payment disappear service got disconnected
242732,Speed and Service,,2025-04-18,09:55:47,Internet,Acworth,Georgia,30101,Closed,Yes,speed and service
277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,,2025-07-05,11:59:35,Internet,Acworth,Georgia,30101,Open,Yes,comcast imposed a new usage cap of 300gb that punishes streaming
307175,Comcast not working and no service to boot,,2025-05-26,13:25:26,Internet,Acworth,Georgia,30101,Solved,No,comcast not working and no service to boot
338519,ISP Charging for arbitrary data limits with overage fees,,2025-12-06,21:59:40,Internet,Acworth,Georgia,30101,Solved,No,isp charging for arbitrary data limits with overage fees
361148,Throttling service and unreasonable data caps,,2025-06-24,10:13:55,Customer Care Call,Acworth,Georgia,30101,Pending,No,throttling service and unreasonable data caps
359792,Comcast refuses to help troubleshoot and correct my service.,,2025-06-23,18:56:14,Internet,Adrian,Michigan,49221,Solved,No,comcast refuses to help troubleshoot and correct my service
318072,Comcast extended outages,,2025-01-06,23:46:30,Customer Care Call,Alameda,California,94502,Closed,No,comcast extended outages
371214,Comcast Raising Prices and Not Being Available To Ask Why,,2025-06-28,18:46:31,Customer Care Call,Alameda,California,94501,Open,Yes,comcast raising prices and not being available to ask why
255938,Billing after service was asked to be disconnected,,2025-04-24,16:40:36,Internet,Albuquerque,New Mexico,87106,Closed,No,billing after service was asked to be disconnected
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,,2025-06-05,15:09:49,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No,yahoo failure to restore email search feature
339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,,2025-06-13,16:03:18,Internet,Albuquerque,New Mexico,87105,Open,Yes,comcast violating open internet rules by blocking hbo go access on sony consoles
360178,Internet speed,,2025-06-23,21:23:23,Internet,Albuquerque,New Mexico,87113,Solved,No,internet speed
376268,Internet Disconnects Every Night,,2025-06-30,22:30:02,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No,internet disconnects every night
370137,Internet complaint,,2025-06-27,15:25:03,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No,internet complaint
363695,Internet Availability and Speed,,2025-06-24,23:47:33,Customer Care Call,Alexandria,Indiana,46001,Solved,No,internet availability and speed
238694,Comcast owes me $65 and claims I need to return equipment I never had,,2025-04-16,10:04:57,Internet,Alexandria,Virginia,22304,Closed,No,comcast owes me 65 and claims i need to return equipment i never had
230876,Horrible Internet Service,,2025-11-04,19:48:05,Customer Care Call,Alexandria,Virginia,22305,Closed,No,horrible internet service
318725,Failure to provide services that I am billed for.,,2025-02-06,13:03:52,Customer Care Call,Alexandria,Virginia,22314,Closed,No,failure to provide services that i am billed for
327657,Internet out all the time but they have a monopoly,,2025-07-06,20:55:43,Customer Care Call,Alexandria,Virginia,22305,Solved,No,internet out all the time but they have a monopoly
328742,horrible cable service and customer service,,2025-08-06,15:18:58,Internet,Alexandria,Virginia,22312,Solved,No,horrible cable service and customer service
328165,Speed,,2025-08-06,12:03:37,Customer Care Call,Alexandria,Virginia,22304,Solved,No,speed
370538,Comcast monopoly bundling practices,,2025-06-27,21:04:34,Internet,Alexandria,Virginia,22304,Open,No,comcast monopoly bundling practices
370363,COMCAST!,,2025-06-27,18:37:29,Internet,Alexandria,Virginia,22305,Solved,No,comcast
270163,bait and switch,,2025-02-05,15:55:24,Internet,Algonquin,Illinois,60102,Open,Yes,bait and switch
355976,Comcast Customer Service,,2025-06-22,14:10:39,Internet,Aliquippa,Pennsylvania,15001,Open,No,comcast customer service
260651,Apartment Management's Exclusivity Contract with Comcast,,2025-04-28,08:01:46,Customer Care Call,Allston,Massachusetts,2134,Closed,No,apartment managements exclusivity contract with comcast
305340,Unable to reach a Comcast agent for internet and billing issues.,,2025-05-24,14:57:47,Customer Care Call,Aloha,Oregon,97006,Solved,No,unable to reach a comcast agent for internet and billing issues
360759,Wifi internet not working as well,,2025-06-24,02:23:23,Internet,Aloha,Oregon,97006,Pending,No,wifi internet not working as well
265487,Comcast data caps,,2025-04-29,21:40:19,Internet,Alpharetta,Georgia,30022,Closed,No,comcast data caps
296608,Comcast Internet Data Cap,,2025-05-19,10:56:20,Internet,Alpharetta,Georgia,30022,Solved,No,comcast internet data cap
310990,XFINITY Movers Edge program,,2025-05-28,10:37:13,Customer Care Call,Alpharetta,Georgia,30022,Solved,No,xfinity movers edge program
325342,Comcast Data Internet Usage,,2025-05-06,13:25:58,Internet,Alpharetta,Georgia,30022,Solved,No,comcast data internet usage
337489,Comcast not refunding my credit,,2025-12-06,15:59:57,Internet,Alpharetta,Georgia,30005,Solved,No,comcast not refunding my credit
354116,Comcast,,2025-06-20,17:03:09,Internet,Alpharetta,Georgia,30022,Solved,No,comcast
371829,No Service,,2025-06-29,11:23:38,Internet,Alpharetta,Georgia,30005,Closed,No,no service
373874,Comcast,,2025-06-30,00:24:57,Customer Care Call,Alvin,Texas,77511,Solved,No,comcast
300824,"INTERNET , BILLING AND SERVIE ISSUES",,2025-05-21,09:34:19,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No,internet billing and servie issues
348923,Comcast blocking DirecTv signals,,2025-06-18,13:50:02,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No,comcast blocking directv signals
302574,pmts,,2025-05-21,20:53:29,Internet,Amesbury,Massachusetts,1913,Open,No,pmts
343346,Slow Internet Speed,,2025-06-16,13:45:58,Internet,Amherst,New Hampshire,3031,Open,No,slow internet speed
286768,not getting what I am paying for with internet,,2025-12-05,21:06:01,Customer Care Call,Andover,Minnesota,55304,Solved,No,not getting what i am paying for with internet
223179,Comcast bandwidth every evening drops to 10% of what is promised to our business,,2025-08-04,01:04:24,Internet,Angels Camp,California,95222,Closed,No,comcast bandwidth every evening drops to 10 of what is promised to our business
235980,isp dishonest about speeds,,2025-04-14,20:57:50,Customer Care Call,Angels Camp,California,95222,Closed,No,isp dishonest about speeds
236469,Deceptive sales- change in billing amount etc.,,2025-04-15,10:16:14,Internet,Ann Arbor,Michigan,48104,Closed,No,deceptive sales change in billing amount etc
288602,Comcast Billing Dispute,,2025-05-13,18:20:32,Internet,Ann Arbor,Michigan,48105,Closed,No,comcast billing dispute
309379,Comcast,,2025-05-27,13:50:37,Internet,Ann Arbor,Michigan,48105,Solved,No,comcast
351079,Comcast Billing and Service Issues,,2025-06-19,09:19:46,Internet,Ann Arbor,Michigan,48105,Solved,No,comcast billing and service issues
366705,Cable prices rising,,2025-06-25,18:17:58,Internet,Ann Arbor,Michigan,48103,Solved,No,cable prices rising
368705,service issues,,2025-06-26,15:56:18,Internet,Annapolis,Maryland,21401,Solved,No,service issues
347369,HBO GO on Playstation 4,,2025-06-17,20:41:23,Internet,Annville,Pennsylvania,17003,Solved,No,hbo go on playstation 4
291784,internet connectivity,,2025-05-15,13:07:11,Customer Care Call,Anoka,Minnesota,55303,Solved,No,internet connectivity
308478,Email issues,,2025-05-26,21:45:02,Customer Care Call,Antioch,California,94509,Solved,No,email issues
309851,Monopoly,,2025-05-27,16:24:46,Internet,Antioch,Tennessee,37013,Solved,No,monopoly
367342,Complaint against Xfinity/Comcast,,2025-06-26,02:38:50,Internet,Aptos,California,95003,Closed,No,complaint against xfinitycomcast
227209,Comcast credit after cancellation has not been received after more than a year,,2025-09-04,16:40:05,Customer Care Call,Arlington,Virginia,22202,Closed,No,comcast credit after cancellation has not been received after more than a year
266376,Comcast False Promises,,2025-04-30,13:06:52,Internet,Arlington,Virginia,22206,Closed,No,comcast false promises
325273,Comcast Blocking UDP Port 443,,2025-05-06,13:02:10,Customer Care Call,Arlington,Virginia,22206,Closed,Yes,comcast blocking udp port 443
342435,Issues with Comcast,,2025-06-15,22:39:15,Internet,Arlington,Virginia,22206,Solved,No,issues with comcast
348514,Comcast Refuses to Schedule a Future Service Stoppage,,2025-06-18,12:02:57,Internet,Arlington,Virginia,22204,Solved,No,comcast refuses to schedule a future service stoppage
352100,Comcast,,2025-06-19,14:36:57,Internet,Arlington,Virginia,22206,Open,No,comcast
355887,Overbilling,,2025-06-22,13:45:40,Customer Care Call,Arlington,Virginia,22207,Solved,Yes,overbilling
356118,"Comcast - failure to provide service, refusal to void contract",,2025-06-22,14:41:05,Customer Care Call,Arlington,Virginia,22206,Solved,No,comcast failure to provide service refusal to void contract
363869,Spotty Comcast service,,2025-06-25,08:03:27,Customer Care Call,Arlington,Virginia,22202,Solved,No,spotty comcast service
369398,without service despite willingness to pay,,2025-06-26,21:09:12,Customer Care Call,Arlington,Virginia,22204,Open,No,without service despite willingness to pay
226231,Issues with Xfinity/Comcast,,2025-09-04,12:24:32,Customer Care Call,Arlington Heights,Illinois,60004,Closed,No,issues with xfinitycomcast
